MapDate;StateAbbreviation;None;D0;D1;D2;D3;D4;ValidStart;ValidEnd;StatisticFormatID
20250422;IA;27.98;72.02;13.34;0;0;0;22.04.2025;28.04.2025;1
20250415;IA;14.11;85.89;29.52;0;0;0;15.04.2025;21.04.2025;1
20250408;IA;21.38;78.62;29.28;0;0;0;08.04.2025;14.04.2025;1
20250401;IA;20.98;79.02;33.55;0;0;0;01.04.2025;07.04.2025;1
20250325;IA;20.98;79.02;34.53;0;0;0;25.03.2025;31.03.2025;1
20250318;IA;20.93;79.07;56.42;1.17;0;0;18.03.2025;24.03.2025;1
20250311;IA;20.93;79.07;56.42;1.3;0;0;11.03.2025;17.03.2025;1
20250304;IA;14.05;85.95;72.91;1.3;0;0;04.03.2025;10.03.2025;1
20250225;IA;14.46;85.54;72.65;1.3;0;0;25.02.2025;03.03.2025;1
20250218;IA;14.46;85.54;61.42;1.3;0;0;18.02.2025;24.02.2025;1
20250211;IA;13.28;86.72;62.12;1.3;0;0;11.02.2025;17.02.2025;1
20250204;IA;13.28;86.72;62.12;1.3;0;0;04.02.2025;10.02.2025;1
20250128;IA;20.41;79.59;57.13;1.3;0;0;28.01.2025;03.02.2025;1
20250121;IA;20.41;79.59;57.13;1.3;0;0;21.01.2025;27.01.2025;1
20250114;IA;20.41;79.59;57.13;1.3;0;0;14.01.2025;20.01.2025;1
20250107;IA;20.41;79.59;57.13;1.3;0;0;07.01.2025;13.01.2025;1
20241231;IA;20.16;79.84;57.33;1.3;0;0;31.12.2024;06.01.2025;1
20241224;IA;20.57;79.43;61.15;1.3;0;0;24.12.2024;30.12.2024;1
20241217;IA;20.57;79.43;61.15;1.3;0;0;17.12.2024;23.12.2024;1
20241210;IA;7.2;92.8;63.13;1.3;0;0;10.12.2024;16.12.2024;1
20241203;IA;7.2;92.8;60.23;1.3;0;0;03.12.2024;09.12.2024;1
20241126;IA;6.83;93.17;60.23;1.3;0;0;26.11.2024;02.12.2024;1
20241119;IA;6.83;93.17;60.49;2.34;0;0;19.11.2024;25.11.2024;1
20241112;IA;6.16;93.84;63.07;12.6;0;0;12.11.2024;18.11.2024;1
20241105;IA;6.16;93.84;63.37;12.93;0;0;05.11.2024;11.11.2024;1
20241029;IA;0;100;87.8;50.8;0;0;29.10.2024;04.11.2024;1
20241022;IA;0;100;83.31;19.32;0;0;22.10.2024;28.10.2024;1
20241015;IA;2.46;97.54;73.29;15.91;0;0;15.10.2024;21.10.2024;1
20241008;IA;2.46;97.54;56.4;7.36;0;0;08.10.2024;14.10.2024;1
20241001;IA;6.02;93.98;23.2;1.29;0;0;01.10.2024;07.10.2024;1
20240924;IA;6.02;93.98;10.2;0;0;0;24.09.2024;30.09.2024;1
20240917;IA;0;100;4.42;0;0;0;17.09.2024;23.09.2024;1
20240910;IA;34.91;65.09;0;0;0;0;10.09.2024;16.09.2024;1
20240903;IA;56.64;43.36;0;0;0;0;03.09.2024;09.09.2024;1
20240827;IA;62.13;37.87;0;0;0;0;27.08.2024;02.09.2024;1
20240820;IA;96.63;3.37;0;0;0;0;20.08.2024;26.08.2024;1
20240813;IA;97.45;2.55;0;0;0;0;13.08.2024;19.08.2024;1
20240806;IA;97.5;2.5;0;0;0;0;06.08.2024;12.08.2024;1
20240730;IA;100;0;0;0;0;0;30.07.2024;05.08.2024;1
20240723;IA;100;0;0;0;0;0;23.07.2024;29.07.2024;1
20240716;IA;100;0;0;0;0;0;16.07.2024;22.07.2024;1
20240709;IA;99.19;0.81;0;0;0;0;09.07.2024;15.07.2024;1
20240702;IA;87.72;12.28;0;0;0;0;02.07.2024;08.07.2024;1
20240625;IA;80.22;19.78;0;0;0;0;25.06.2024;01.07.2024;1
20240618;IA;69.17;30.83;0;0;0;0;18.06.2024;24.06.2024;1
20240611;IA;83.65;16.35;0;0;0;0;11.06.2024;17.06.2024;1
20240604;IA;76.97;23.03;0;0;0;0;04.06.2024;10.06.2024;1
20240528;IA;75.73;24.27;0;0;0;0;28.05.2024;03.06.2024;1
20240521;IA;66.42;33.58;20.91;0;0;0;21.05.2024;27.05.2024;1
20240514;IA;52.54;47.46;27.43;16.09;0;0;14.05.2024;20.05.2024;1
20240507;IA;40.3;59.7;37.31;19.35;0;0;07.05.2024;13.05.2024;1
20240430;IA;30.11;69.89;49.89;22.28;2.44;0;30.04.2024;06.05.2024;1
20240423;IA;23.52;76.48;58;26.82;2.66;0;23.04.2024;29.04.2024;1
20240416;IA;14.71;85.29;66.2;30.68;7.43;0;16.04.2024;22.04.2024;1
20240409;IA;14.72;85.28;67.33;32.14;10.55;0;09.04.2024;15.04.2024;1
20240402;IA;9.65;90.35;70.58;33.43;11.53;0;02.04.2024;08.04.2024;1
20240326;IA;9.65;90.35;71.27;34.9;12.09;0;26.03.2024;01.04.2024;1
20240319;IA;2.26;97.74;83.77;55.37;19.82;0;19.03.2024;25.03.2024;1
20240312;IA;0.86;99.14;84.39;56.37;20.18;0;12.03.2024;18.03.2024;1
20240305;IA;0.89;99.11;79.7;56.37;20.18;0;05.03.2024;11.03.2024;1
20240227;IA;0.78;99.22;79.04;56.37;18.58;0;27.02.2024;04.03.2024;1
20240220;IA;4.19;95.81;78.22;56.37;18.58;0;20.02.2024;26.02.2024;1
20240213;IA;5.24;94.76;78.22;56.37;18.58;0;13.02.2024;19.02.2024;1
20240206;IA;5.24;94.76;78.22;56.37;18.58;0;06.02.2024;12.02.2024;1
20240130;IA;5.24;94.76;78.41;56.37;18.58;0;30.01.2024;05.02.2024;1
20240123;IA;3.67;96.33;80.08;60.24;24.08;0;23.01.2024;29.01.2024;1
20240116;IA;3.69;96.31;80.05;63.04;27.8;0;16.01.2024;22.01.2024;1
20240109;IA;2.77;97.23;83.41;65.09;34.62;0;09.01.2024;15.01.2024;1
20240102;IA;2.77;97.23;83.41;65.09;35.18;0;02.01.2024;08.01.2024;1
20231226;IA;2.66;97.34;83.41;65.09;35.18;0;26.12.2023;01.01.2024;1
20231219;IA;0.71;99.29;84.33;65.83;35.18;0;19.12.2023;25.12.2023;1
20231212;IA;0.57;99.43;84.33;62.08;27.47;0;12.12.2023;18.12.2023;1
20231205;IA;0.57;99.43;84.33;62.08;27.47;0;05.12.2023;11.12.2023;1
20231128;IA;1.04;98.96;83.66;58.07;27.47;0;28.11.2023;04.12.2023;1
20231121;IA;1.04;98.96;83.66;58.07;27.47;0;21.11.2023;27.11.2023;1
20231114;IA;1.79;98.21;82.71;58.07;27.47;0;14.11.2023;20.11.2023;1
20231107;IA;1.8;98.2;82.71;53.72;23.69;0;07.11.2023;13.11.2023;1
20231031;IA;1.8;98.2;81.34;53.36;23.69;0;31.10.2023;06.11.2023;1
20231024;IA;0.03;99.97;94.37;58.47;23.78;0;24.10.2023;30.10.2023;1
20231017;IA;0.03;99.97;93.57;58.45;23.78;0;17.10.2023;23.10.2023;1
20231010;IA;0;100;95.75;67.41;27.42;3.07;10.10.2023;16.10.2023;1
20231003;IA;0;100;95.75;67.41;27.35;3.07;03.10.2023;09.10.2023;1
20230926;IA;0.01;99.99;95.65;67.41;25;1.17;26.09.2023;02.10.2023;1
20230919;IA;0.19;99.81;96.59;72.99;25.51;4.96;19.09.2023;25.09.2023;1
20230912;IA;0.19;99.81;96.59;72.99;25.51;0;12.09.2023;18.09.2023;1
20230905;IA;0.18;99.82;91.25;54.71;24.61;0;05.09.2023;11.09.2023;1
20230829;IA;0.51;99.49;80.45;51.26;17.59;0;29.08.2023;04.09.2023;1
20230822;IA;1.1;98.9;74.43;41.31;5.28;0;22.08.2023;28.08.2023;1
20230815;IA;1.1;98.9;74.43;33.38;3.07;0;15.08.2023;21.08.2023;1
20230808;IA;0;100;78.47;27.24;3.07;0;08.08.2023;14.08.2023;1
20230801;IA;0;100;82.52;30.29;4.16;0;01.08.2023;07.08.2023;1
20230725;IA;0;100;82.85;18.25;4.15;0;25.07.2023;31.07.2023;1
20230718;IA;0;100;77.62;17.78;3.91;0;18.07.2023;24.07.2023;1
20230711;IA;0;100;86.97;43.38;4.71;0;11.07.2023;17.07.2023;1
20230704;IA;0.48;99.52;86.98;43.52;4.71;0;04.07.2023;10.07.2023;1
20230627;IA;0.6;99.4;89.15;43.93;5.34;0;27.06.2023;03.07.2023;1
20230620;IA;0.6;99.4;83.02;31.74;3.52;0;20.06.2023;26.06.2023;1
20230613;IA;1.8;98.2;67.56;14.37;0.78;0;13.06.2023;19.06.2023;1
20230606;IA;1.2;98.8;42.76;7.94;0.78;0;06.06.2023;12.06.2023;1
20230530;IA;7.49;92.51;39.27;4.86;0.65;0;30.05.2023;05.06.2023;1
20230523;IA;42.8;57.2;28.66;2.47;0.65;0;23.05.2023;29.05.2023;1
20230516;IA;45.62;54.38;25.78;2.44;0.65;0;16.05.2023;22.05.2023;1
20230509;IA;36.54;63.46;30.81;9.83;1.27;0.22;09.05.2023;15.05.2023;1
20230502;IA;25.45;74.55;30.76;9.83;1.27;0.54;02.05.2023;08.05.2023;1
20230425;IA;36.8;63.2;29.69;9.84;1.27;0.54;25.04.2023;01.05.2023;1
20230418;IA;37.97;62.03;31.9;15.54;1.51;0.57;18.04.2023;24.04.2023;1
20230411;IA;37.97;62.03;31.9;15.51;1.51;0.57;11.04.2023;17.04.2023;1
20230404;IA;37.97;62.03;31.87;15.51;1.51;0.57;04.04.2023;10.04.2023;1
20230328;IA;37.97;62.03;31.93;15.54;1.51;0.57;28.03.2023;03.04.2023;1
20230321;IA;35.33;64.67;31.93;15.54;1.51;0.57;21.03.2023;27.03.2023;1
20230314;IA;35.33;64.67;31.93;15.54;1.51;0.57;14.03.2023;20.03.2023;1
20230307;IA;32.45;67.55;32.07;15.54;1.51;0.57;07.03.2023;13.03.2023;1
20230228;IA;25.26;74.74;32.87;15.54;1.55;0.57;28.02.2023;06.03.2023;1
20230221;IA;20.33;79.67;40.89;16.82;1.55;0.57;21.02.2023;27.02.2023;1
20230214;IA;19.85;80.15;53.34;27.98;8.61;0.57;14.02.2023;20.02.2023;1
20230207;IA;16.86;83.14;54;29.43;8.83;0.57;07.02.2023;13.02.2023;1
20230131;IA;17.06;82.94;54;29.43;8.83;0.57;31.01.2023;06.02.2023;1
20230124;IA;17.06;82.94;54;29.43;8.83;0.57;24.01.2023;30.01.2023;1
20230117;IA;17;83;54;29.43;8.83;0.57;17.01.2023;23.01.2023;1
20230110;IA;16.93;83.07;54;29.43;8.83;0.57;10.01.2023;16.01.2023;1
20230103;IA;10.69;89.31;66.66;29.43;8.83;0.57;03.01.2023;09.01.2023;1
20221227;IA;9.52;90.48;66.66;29.43;8.83;0.57;27.12.2022;02.01.2023;1
20221220;IA;9.52;90.48;66.66;29.43;8.83;0.57;20.12.2022;26.12.2022;1
20221213;IA;7.31;92.69;73.35;29.84;11.24;0.57;13.12.2022;19.12.2022;1
